"COWID","ZONE_CODE","COUNT","AREA","MIN","MAX","RANGE","MEAN","STD","SUM","GWCODE"
436,62,1775283,1188529080840,0,1300.9519043,1300.9519043,13.900250861,27.5590172387,24676879.0492,436
475,63,1365205,913987146726,0,1662.99694824,1662.99694824,26.2279655812,50.0906311139,35806549.7513,475
403,64,1480,990840919.243,0,1418.51501465,1418.51501465,176.442453268,176.908524438,261134.830836,403
461,65,85817,57453375112.6,0,1135.8371582,1135.8371582,26.2830407723,45.9352394936,2255531.70996,461
339,66,42623,28535548987.1,0,2010.53356934,2010.53356934,387.949641028,274.812502189,16535577.5496,339
325,67,447375,299511794761,0,2070.31225586,2070.31225586,243.02731986,257.770041832,108724347.222,325
338,68,396,265116894.608,12.7279224396,276.088745117,263.360822678,89.21332735,46.7260161722,35328.4776306,338
331,69,89,59584352.5761,52.2494010925,414.890350342,362.640949249,189.082798176,76.6101980695,16828.3690376,331
355,70,165911,111075275508,0,1443.16040039,1443.16040039,166.711900991,155.358837534,27659338.2053,355
352,71,13397,8969118780.47,0,1476.2956543,1476.2956543,269.085591033,237.720291866,3604939.66307,352
350,72,189780,127055263280,0,2621.50512695,2621.50512695,310.391096104,254.890349177,58906022.2186,350
660,73,15076,10093187634.1,0,1397.61254883,1397.61254883,273.40983577,187.237986318,4121926.68407,660
640,74,1163860,779189265047,0,3014.18286133,3014.18286133,260.87173245,247.302538264,303618174.529,640
305,75,125322,83901463298.2,0,2042.1348877,2042.1348877,396.450229122,335.605029632,49683935.6141,305
390,76,61623,41255804031.4,0,173.124237061,173.124237061,20.4212759669,16.6678500942,1258420.28891,390
310,77,138838,92950251044.5,0,696.108459473,696.108459473,42.488229997,57.4362860492,5898980.87633,310
290,78,464388,310901778923,0,1389.60852051,1389.60852051,32.8070004223,53.7212923787,15235177.3121,290
211,79,45682,30583510049.2,0,380.852996826,380.852996826,40.7798032163,43.2677264482,1862902.97053,211
220,80,815876,546218463397,0,2298.50024414,2298.50024414,113.394893989,174.96073952,92516172.5278,220
223,81,264,176744596.405,10.2469511032,1833.53808594,1823.29113483,565.185562062,424.538770335,149208.988384,223
212,82,3852,2578864338.46,6.0827627182,436.392028809,430.30926609,103.247592907,62.3345056884,397709.72788,212
210,83,51288,34336654774.4,0,204.663131714,204.663131714,3.87650648449,9.15533861778,198818.264577,210
225,84,61942,41469370418.7,0,2500.6262207,2500.6262207,527.040428781,394.469737632,32645938.2396,225
375,85,496336,332290553036,0,689.721679688,689.721679688,38.1278923077,34.1596674829,18924245.5564,375
360,86,354511,237340544001,0,1536.15759277,1536.15759277,151.042707796,155.377226736,53546301.3836,360
781,87,15,10042306.6139,0,0,0,0,0,0,781
698,88,462053,309338526526,0,2331.96655273,2331.96655273,71.3252038764,141.370554864,32956024.4267,698
520,89,954738,639184782132,0,2226.30102539,2226.30102539,38.6252805811,82.0521010606,36877023.1315,520
780,90,98386,65868158568,0,1828.81982422,1828.81982422,65.8832836129,116.414059071,6481992.74154,780
692,91,901,603207883.944,0,74.478187561,74.478187561,16.681765017,13.5140640184,15030.2702804,692
630,92,2427826,1625398206490,0,2767.52246094,2767.52246094,172.963518022,205.202529774,419925326.106,630
690,93,24949,16703033847.4,0,164.01524353,164.01524353,14.9054832675,10.1551041114,371876.902041,690
